ts,o,h,l,c
2021/03/26,16.11900000,17.60000000,16.08800000,17.46900000
2021/03/27,17.47900000,17.64500000,16.71300000,17.13600000
2021/03/28,17.13400000,17.31200000,16.37400000,16.46900000
2021/03/29,16.46900000,17.83400000,16.28900000,17.78000000
2021/03/30,17.79100000,18.00000000,17.26000000,17.53300000
2021/03/31,17.54700000,17.89000000,16.54800000,17.65800000
2021/04/01,17.65300000,19.36800000,17.58800000,19.17900000
2021/04/02,19.17900000,21.46000000,18.77000000,21.41500000
2021/04/03,21.42900000,21.64000000,19.00000000,19.27000000
2021/04/04,19.27100000,21.39000000,19.00000000,20.64800000
2021/04/05,20.64800000,21.14100000,19.64200000,20.73800000
2021/04/06,20.73000000,22.43400000,20.62700000,22.05600000
2021/04/07,22.05800000,22.32200000,18.60900000,19.39400000
2021/04/08,19.39400000,20.15100000,18.98400000,19.90100000
2021/04/09,19.91100000,20.40400000,19.11400000,19.42100000
2021/04/10,19.42200000,19.99900000,18.58000000,18.99400000
2021/04/11,18.99300000,19.31800000,18.30300000,18.98900000
2021/04/12,18.97900000,19.96300000,18.50000000,19.59100000
2021/04/13,19.59200000,20.20000000,18.97000000,19.11500000
2021/04/14,19.12400000,21.87600000,18.66800000,20.02300000
2021/04/15,20.01200000,22.61000000,19.92100000,22.02500000
2021/04/16,22.03200000,23.12200000,20.01700000,20.85100000
2021/04/17,20.88300000,21.95600000,20.20900000,20.22400000
2021/04/18,20.23700000,20.40400000,14.79500000,18.01400000
2021/04/19,18.00400000,18.28800000,15.69000000,15.98100000
2021/04/20,15.99200000,17.73700000,14.70000000,16.81800000
2021/04/21,16.80000000,17.10000000,15.57800000,15.85900000
2021/04/22,15.86200000,17.77600000,15.00000000,15.28900000
2021/04/23,15.28600000,15.64000000,12.99100000,14.87700000
2021/04/24,14.89400000,14.91400000,13.45300000,13.73300000
2021/04/25,13.74700000,14.80000000,13.25500000,14.12700000
2021/04/26,14.12800000,16.17400000,13.97400000,16.11800000
2021/04/27,16.12000000,17.22800000,15.69600000,17.12000000
2021/04/28,17.12000000,17.39300000,15.93300000,16.81800000
2021/04/29,16.83900000,17.85000000,16.46500000,17.70300000
2021/04/30,17.70000000,18.50000000,17.36100000,18.19700000
2021/05/01,18.18700000,18.61000000,17.61800000,18.17000000
2021/05/02,18.17800000,18.31000000,16.81300000,17.33200000
2021/05/03,17.33200000,19.25000000,17.22900000,18.86900000
2021/05/04,18.86300000,18.86800000,16.19400000,16.47000000
2021/05/05,16.47200000,17.92000000,16.26700000,17.67700000
2021/05/06,17.67600000,18.84600000,17.01000000,18.42700000
2021/05/07,18.42700000,20.51800000,17.70000000,18.77200000
2021/05/08,18.76600000,19.14200000,18.11700000,18.40200000
2021/05/09,18.40500000,18.55200000,17.10000000,17.80400000
2021/05/10,17.79600000,18.27900000,15.18100000,16.25700000
2021/05/11,16.24800000,19.00000000,15.81500000,18.39800000
2021/05/12,18.39800000,21.80000000,17.40000000,17.99500000
2021/05/13,17.93300000,23.14200000,16.14400000,18.49400000
2021/05/14,18.48400000,22.15000000,18.26900000,21.16200000
2021/05/15,21.15000000,22.90000000,19.04100000,19.21600000
2021/05/16,19.22600000,20.62800000,17.23500000,18.86200000
2021/05/17,18.86000000,21.12300000,16.60000000,20.48200000
2021/05/18,20.45200000,25.83700000,20.20900000,23.35200000
2021/05/19,23.38100000,24.05000000,10.66400000,14.30100000
2021/05/20,14.35600000,18.43000000,12.82300000,16.18400000
2021/05/21,16.18600000,19.74800000,13.40100000,16.38000000
2021/05/22,16.38000000,17.64000000,13.50000000,14.92400000
2021/05/23,14.94000000,15.51000000,9.40000000,11.74200000
2021/05/24,11.75600000,14.56700000,11.50700000,13.90300000
