ts,o,h,l,c
2020/05/21,209.99000000,211.64000000,191.71000000,198.74000000
2020/05/22,198.72000000,209.19000000,196.24000000,207.36000000
2020/05/23,207.36000000,211.20000000,204.55000000,206.60000000
2020/05/24,206.60000000,210.55000000,199.50000000,199.90000000
2020/05/25,199.90000000,205.67000000,198.01000000,204.15000000
2020/05/26,204.22000000,205.00000000,196.90000000,200.89000000
2020/05/27,200.92000000,208.44000000,200.76000000,208.29000000
2020/05/28,208.29000000,220.50000000,204.67000000,220.21000000
2020/05/29,220.24000000,224.79000000,217.57000000,220.67000000
2020/05/30,220.63000000,247.00000000,218.80000000,243.66000000
2020/05/31,243.71000000,245.39000000,229.58000000,231.57000000
2020/06/01,231.56000000,250.68000000,230.66000000,248.23000000
2020/06/02,248.23000000,253.80000000,225.00000000,237.71000000
2020/06/03,237.71000000,245.00000000,232.71000000,244.52000000
2020/06/04,244.54000000,246.60000000,236.00000000,243.21000000
2020/06/05,243.22000000,247.87000000,239.14000000,240.03000000
2020/06/06,240.04000000,244.70000000,237.83000000,241.94000000
2020/06/07,241.94000000,245.37000000,234.60000000,244.56000000
2020/06/08,244.57000000,247.70000000,240.59000000,246.40000000
2020/06/09,246.37000000,249.82000000,238.00000000,243.80000000
2020/06/10,243.79000000,250.28000000,242.00000000,247.78000000
2020/06/11,247.78000000,250.09000000,226.20000000,230.51000000
2020/06/12,230.46000000,239.38000000,228.19000000,237.55000000
2020/06/13,237.55000000,238.73000000,234.66000000,238.11000000
2020/06/14,238.13000000,238.59000000,229.83000000,231.77000000
2020/06/15,231.74000000,233.55000000,218.27000000,230.86000000
2020/06/16,230.86000000,236.00000000,228.70000000,235.30000000
2020/06/17,235.31000000,237.30000000,227.65000000,233.82000000
2020/06/18,233.82000000,234.65000000,227.93000000,231.27000000
2020/06/19,231.26000000,231.95000000,226.74000000,229.00000000
2020/06/20,229.00000000,230.85000000,225.62000000,228.89000000
2020/06/21,228.88000000,231.49000000,227.11000000,228.04000000
2020/06/22,228.03000000,246.89000000,227.51000000,243.13000000
2020/06/23,243.11000000,244.87000000,240.75000000,243.14000000
2020/06/24,243.15000000,249.24000000,231.07000000,234.58000000
2020/06/25,234.57000000,235.39000000,227.56000000,232.50000000
2020/06/26,232.49000000,233.61000000,227.75000000,229.64000000
2020/06/27,229.66000000,231.42000000,216.00000000,220.94000000
2020/06/28,220.94000000,227.96000000,218.32000000,224.93000000
2020/06/29,224.89000000,229.96000000,221.26000000,227.93000000
2020/06/30,227.98000000,228.70000000,222.91000000,225.60000000
2020/07/01,225.59000000,232.71000000,224.16000000,230.99000000
2020/07/02,230.99000000,232.01000000,222.87000000,226.46000000
2020/07/03,226.46000000,228.13000000,223.97000000,224.87000000
2020/07/04,224.86000000,230.71000000,224.43000000,229.17000000
2020/07/05,229.24000000,229.85000000,223.05000000,227.56000000
2020/07/06,227.54000000,242.00000000,226.93000000,241.60000000
2020/07/07,241.60000000,243.77000000,234.40000000,239.39000000
2020/07/08,239.39000000,248.88000000,237.78000000,246.95000000
2020/07/09,246.94000000,247.90000000,237.88000000,241.98000000
2020/07/10,241.97000000,242.16000000,235.72000000,241.26000000
2020/07/11,241.27000000,241.67000000,237.54000000,239.19000000
2020/07/12,239.19000000,244.00000000,236.52000000,242.79000000
2020/07/13,242.76000000,245.33000000,237.33000000,239.50000000
2020/07/14,239.50000000,242.09000000,237.00000000,240.44000000
2020/07/15,240.45000000,241.45000000,236.83000000,238.61000000
2020/07/16,238.59000000,239.39000000,230.02000000,233.57000000
2020/07/17,233.58000000,234.84000000,231.65000000,232.67000000
2020/07/18,232.66000000,236.80000000,232.32000000,235.67000000
2020/07/19,235.67000000,239.92000000,233.28000000,239.11000000
2020/07/20,239.12000000,239.72000000,234.05000000,236.01000000
2020/07/21,236.00000000,246.66000000,235.57000000,245.59000000
2020/07/22,245.53000000,269.61000000,241.51000000,263.74000000
2020/07/23,263.75000000,279.98000000,259.70000000,275.30000000
2020/07/24,275.31000000,287.34000000,266.00000000,279.15000000
2020/07/25,279.15000000,308.94000000,279.09000000,305.26000000
2020/07/26,305.31000000,318.75000000,299.00000000,311.00000000
