ts,o,h,l,c
2020/07/26,9700.42000000,10111.00000000,9650.00000000,9931.54000000
2020/07/27,9931.54000000,11394.86000000,9917.21000000,11029.96000000
2020/07/28,11029.96000000,11242.23000000,10565.00000000,10906.27000000
2020/07/29,10906.27000000,11342.82000000,10812.00000000,11100.53000000
2020/07/30,11100.52000000,11170.00000000,10831.00000000,11099.61000000
2020/07/31,11099.79000000,11444.00000000,10960.00000000,11335.46000000
2020/08/01,11335.46000000,11861.00000000,11220.00000000,11801.17000000
2020/08/02,11801.17000000,12123.46000000,10518.50000000,11071.35000000
2020/08/03,11071.36000000,11473.00000000,10936.00000000,11219.81000000
2020/08/04,11219.68000000,11414.98000000,11000.00000000,11191.97000000
2020/08/05,11191.99000000,11780.93000000,11093.00000000,11744.91000000
2020/08/06,11744.91000000,11900.00000000,11562.50000000,11762.46000000
2020/08/07,11762.47000000,11909.94000000,11322.00000000,11594.23000000
2020/08/08,11594.36000000,11808.27000000,11512.00000000,11761.41000000
2020/08/09,11761.02000000,11797.11000000,11521.97000000,11681.68000000
2020/08/10,11681.69000000,12067.35000000,11450.00000000,11892.92000000
2020/08/11,11892.90000000,11935.00000000,11125.00000000,11392.08000000
2020/08/12,11392.09000000,11617.52000000,11150.00000000,11564.33000000
2020/08/13,11564.34000000,11792.96000000,11270.36000000,11780.00000000
2020/08/14,11779.77000000,11850.00000000,11634.03000000,11760.54000000
2020/08/15,11760.55000000,11980.00000000,11680.00000000,11852.40000000
2020/08/16,11852.40000000,11931.72000000,11686.00000000,11911.00000000
2020/08/17,11910.99000000,12468.00000000,11769.78000000,12281.13000000
2020/08/18,12281.15000000,12387.77000000,11817.93000000,11945.01000000
2020/08/19,11945.10000000,12020.08000000,11561.00000000,11754.59000000
2020/08/20,11754.38000000,11888.00000000,11668.00000000,11853.55000000
2020/08/21,11853.54000000,11878.00000000,11485.81000000,11531.34000000
2020/08/22,11531.23000000,11686.00000000,11376.81000000,11662.96000000
2020/08/23,11663.51000000,11718.07000000,11514.13000000,11648.13000000
2020/08/24,11648.12000000,11824.90000000,11585.09000000,11748.20000000
2020/08/25,11748.19000000,11767.85000000,11117.64000000,11318.42000000
2020/08/26,11318.42000000,11539.32000000,11244.00000000,11461.43000000
2020/08/27,11461.42000000,11592.20000000,11125.00000000,11330.38000000
2020/08/28,11330.38000000,11542.65000000,11276.89000000,11526.91000000
2020/08/29,11526.90000000,11580.02000000,11417.04000000,11465.84000000
2020/08/30,11465.84000000,11719.00000000,11458.00000000,11711.16000000
2020/08/31,11711.17000000,11800.77000000,11570.00000000,11649.51000000
2020/09/01,11649.51000000,12050.85000000,11515.00000000,11921.97000000
2020/09/02,11921.97000000,11954.57000000,11160.10000000,11388.54000000
2020/09/03,11388.54000000,11462.60000000,9960.80000000,10140.85000000
2020/09/04,10138.29000000,10627.05000000,9875.50000000,10446.25000000
2020/09/05,10446.25000000,10565.68000000,9825.00000000,10166.69000000
2020/09/06,10166.69000000,10347.14000000,9994.86000000,10256.20000000
2020/09/07,10255.89000000,10410.75000000,9875.00000000,10373.44000000
2020/09/08,10373.45000000,10438.00000000,9850.00000000,10126.65000000
2020/09/09,10126.66000000,10343.00000000,9981.01000000,10219.20000000
2020/09/10,10219.29000000,10483.35000000,10070.83000000,10336.87000000
2020/09/11,10336.86000000,10397.60000000,10200.00000000,10387.89000000
2020/09/12,10387.89000000,10477.97000000,10269.25000000,10440.92000000
2020/09/13,10440.67000000,10580.11000000,10200.00000000,10332.83000000
2020/09/14,10332.84000000,10750.00000000,10212.34000000,10671.77000000
2020/09/15,10671.77000000,10930.04000000,10606.48000000,10785.31000000
2020/09/16,10785.23000000,11093.00000000,10661.22000000,10954.01000000
2020/09/17,10954.01000000,11045.46000000,10745.83000000,10939.99000000
2020/09/18,10940.00000000,11038.03000000,10812.84000000,10933.39000000
2020/09/19,10933.40000000,11179.79000000,10887.37000000,11080.65000000
2020/09/20,11080.64000000,11080.64000000,10723.00000000,10920.28000000
2020/09/21,10920.28000000,10988.86000000,10296.35000000,10417.22000000
2020/09/22,10417.22000000,10572.71000000,10353.00000000,10529.61000000
2020/09/23,10529.61000000,10537.15000000,10136.82000000,10241.46000000
2020/09/24,10241.46000000,10795.24000000,10190.93000000,10736.32000000
2020/09/25,10736.33000000,10760.53000000,10556.24000000,10686.67000000
2020/09/26,10686.57000000,10820.94000000,10644.68000000,10728.60000000
2020/09/27,10728.59000000,10799.00000000,10594.82000000,10774.25000000
2020/09/28,10774.26000000,10950.00000000,10626.00000000,10696.12000000
2020/09/29,10696.11000000,10867.54000000,10635.87000000,10840.48000000
2020/09/30,10840.58000000,10849.34000000,10665.13000000,10776.59000000
2020/10/01,10776.59000000,10920.00000000,10437.00000000,10619.13000000
2020/10/02,10619.13000000,10664.64000000,10374.00000000,10570.40000000
2020/10/03,10570.40000000,10603.56000000,10496.46000000,10542.06000000
2020/10/04,10542.07000000,10696.87000000,10517.87000000,10666.63000000
2020/10/05,10666.62000000,10798.00000000,10615.64000000,10792.21000000
2020/10/06,10792.20000000,10800.00000000,10525.00000000,10599.66000000
2020/10/07,10599.65000000,10681.87000000,10546.17000000,10666.39000000
2020/10/08,10666.40000000,10950.00000000,10530.41000000,10925.57000000
2020/10/09,10925.44000000,11104.64000000,10829.00000000,11050.64000000
2020/10/10,11050.64000000,11491.00000000,11050.51000000,11293.22000000
2020/10/11,11293.22000000,11445.00000000,11221.00000000,11369.02000000
2020/10/12,11369.02000000,11720.01000000,11172.00000000,11528.25000000
2020/10/13,11528.24000000,11557.00000000,11300.00000000,11420.56000000
2020/10/14,11420.57000000,11547.98000000,11280.00000000,11417.89000000
